Month,Day,Version,Shop,Hour,Volume
8,3,actual,MP,19,1933.7
8,3,actual,unbalance,19,67.44
8,3,plan,Total,19,4471
8,3,plan,KP,19,2397.34
8,3,plan,MP,19,2073.6
8,3,actual,Total,20,4680.42
8,3,actual,KP,20,2731.48
8,3,actual,MP,20,1948.94
8,3,actual,unbalance,20,122.58
8,3,plan,Total,20,4803
8,3,plan,KP,20,2631.93
8,3,plan,MP,20,2170.71
8,3,actual,Total,21,4452.11
8,3,actual,KP,21,2397.63
8,3,actual,MP,21,2054.48
8,3,actual,unbalance,21,29.89
8,3,plan,Total,21,4482
8,3,plan,KP,21,2517.21
8,3,plan,MP,21,1964.68
8,3,actual,Total,22,4530.07
8,3,actual,KP,22,2410.88
8,3,actual,MP,22,2119.19
8,3,actual,unbalance,22,-48.07
8,3,plan,Total,22,4482
8,3,plan,KP,22,2517.21
8,3,plan,MP,22,1964.68
8,3,actual,Total,23,4822.19
8,3,actual,KP,23,2802.04
8,3,actual,MP,23,2020.15
8,3,actual,unbalance,23,-370.19
8,3,plan,Total,23,4452
8,3,plan,KP,23,2397.63
8,3,plan,MP,23,2054.48
8,3,actual,Total,24,2425.26
8,3,actual,KP,24,1086.71
8,3,actual,MP,24,1338.55
8,3,actual,unbalance,24,2326.85
8,3,plan,Total,24,4752.11
8,3,plan,KP,24,2697.63
8,3,plan,MP,24,2054.48
8,3,actual,Total,25,2065.08
8,3,actual,KP,25,875.59
8,3,actual,MP,25,1189.49
8,3,actual,unbalance,25,530.19
8,3,plan,Total,25,2595.26
8,3,plan,KP,25,1197.63
8,3,plan,MP,25,1397.63
8,3,actual,Total,26,2234.78
8,3,actual,KP,26,1076.32
8,3,actual,MP,26,1158.46
8,3,actual,unbalance,26,190.48
8,3,plan,Total,26,2425.26
8,3,plan,KP,26,1086.71
8,3,plan,MP,26,1338.55
8,3,actual,Total,27,3656.49
8,3,actual,KP,27,2350.26
8,3,actual,MP,27,1306.24
8,3,actual,unbalance,27,-1421.71
8,3,plan,Total,27,2234.78
8,3,plan,KP,27,1076.32
8,3,plan,MP,27,1158.46
8,3,actual,Total,28,4653.08
8,3,actual,KP,28,2522.81
8,3,actual,MP,28,2130.27
8,3,actual,unbalance,28,-200.97
8,3,plan,Total,28,4452.11
8,3,plan,KP,28,2397.63
8,3,plan,MP,28,2054.48
8,3,actual,Total,29,4238.26
8,3,actual,KP,29,2326.59
8,3,actual,MP,29,1911.67
8,3,actual,unbalance,29,213.85
8,3,plan,Total,29,4452.11
8,3,plan,KP,29,2397.63
8,3,plan,MP,29,2054.48
8,3,actual,Total,30,4344.14
8,3,actual,KP,30,2037.05
8,3,actual,MP,30,2307.1
8,3,actual,unbalance,30,218.06
8,3,plan,Total,30,4562.21
8,3,plan,KP,30,2431.93
8,3,plan,MP,30,2130.27
8,3,actual,Total,31,2234.78
8,3,actual,KP,31,1076.32
8,3,actual,MP,31,1158.46
8,3,actual,unbalance,31,2251.64
8,3,plan,Total,31,4486.42
8,3,plan,KP,31,2431.93
8,3,plan,MP,31,2054.48
8,4,actual,Total,1,4431.45
8,4,actual,KP,1,2341
8,4,actual,MP,1,2090.45
8,4,actual,unbalance,1,-103.45
8,4,plan,Total,1,4328
8,4,plan,KP,1,2155.57
8,4,plan,MP,1,2172.59
8,4,actual,Total,2,4711.78
8,4,actual,KP,2,2614.1
8,4,actual,MP,2,2097.68
8,4,actual,unbalance,2,121.22
8,4,plan,Total,2,4833
8,4,plan,KP,2,2660.59
8,4,plan,MP,2,2172.59
8,4,actual,Total,3,4707.18
8,4,actual,KP,3,2493.24
8,4,actual,MP,3,2213.94
8,4,actual,unbalance,3,401.82
8,4,plan,Total,3,5109
8,4,plan,KP,3,2797.93
8,4,plan,MP,3,2310.6
8,4,actual,Total,4,5023.35
8,4,actual,KP,4,2623.6
8,4,actual,MP,4,2399.75
8,4,actual,unbalance,4,-406.35
8,4,plan,Total,4,4617
8,4,plan,KP,4,2444.9
8,4,plan,MP,4,2172.59
8,4,actual,Total,5,4834.96
8,4,actual,KP,5,2474.57
8,4,actual,MP,5,2360.4
8,4,actual,unbalance,5,-340.96
8,4,plan,Total,5,4494
8,4,plan,KP,5,2660.59
8,4,plan,MP,5,1833.84
8,4,actual,Total,6,4782.03
8,4,actual,KP,6,2574.79
8,4,actual,MP,6,2207.24
8,4,actual,unbalance,6,-222.03
8,4,plan,Total,6,4560
8,4,plan,KP,6,2660.59
8,4,plan,MP,6,1899.72
8,4,actual,Total,7,4718.09
8,4,actual,KP,7,2509.68
8,4,actual,MP,7,2208.41
8,4,actual,unbalance,7,-158.09
8,4,plan,Total,7,4560
8,4,plan,KP,7,2660.59
8,4,plan,MP,7,1899.72
8,4,actual,Total,8,5229.7
8,4,actual,KP,8,2606.19
8,4,actual,MP,8,2623.51
8,4,actual,unbalance,8,-763.7
8,4,plan,Total,8,4466
8,4,plan,KP,8,2155.57
8,4,plan,MP,8,2310.6
8,4,actual,Total,9,4784.6
8,4,actual,KP,9,2501.06
8,4,actual,MP,9,2283.54
8,4,actual,unbalance,9,-439.6
8,4,plan,Total,9,4345
8,4,plan,KP,9,2444.9
8,4,plan,MP,9,1899.72
8,4,actual,Total,10,4644.13
8,4,actual,KP,10,2568.75
8,4,actual,MP,10,2075.39
8,4,actual,unbalance,10,-589.13
8,4,plan,Total,10,4055
8,4,plan,KP,10,2155.57
8,4,plan,MP,10,1899.72
8,4,actual,Total,11,5115.65
8,4,actual,KP,11,2654.33
8,4,actual,MP,11,2461.32
8,4,actual,unbalance,11,-1126.65
8,4,plan,Total,11,3989
8,4,plan,KP,11,2155.57
8,4,plan,MP,11,1833.84
8,4,actual,Total,12,4731.35
8,4,actual,KP,12,2602.95
8,4,actual,MP,12,2128.4
8,4,actual,unbalance,12,-171.35
8,4,plan,Total,12,4560
8,4,plan,KP,12,2660.59
8,4,plan,MP,12,1899.72
8,4,actual,Total,13,5129.06
8,4,actual,KP,13,2338.26
8,4,actual,MP,13,2790.8
8,4,actual,unbalance,13,-613.06
8,4,plan,Total,13,4516
8,4,plan,KP,13,2155.57
8,4,plan,MP,13,2360.4
8,4,actual,Total,14,4830.85
8,4,actual,KP,14,2609.39
8,4,actual,MP,14,2221.46
8,4,actual,unbalance,14,-41.85
8,4,plan,Total,14,4789
8,4,plan,KP,14,2660.59
8,4,plan,MP,14,2128.4
8,4,actual,Total,15,4467.83
8,4,actual,KP,15,2405.9
8,4,actual,MP,15,2061.93
8,4,actual,unbalance,15,521.17
8,4,plan,Total,15,4989
8,4,plan,KP,15,2360.59
8,4,plan,MP,15,2628.4
8,4,actual,Total,16,4747.35
8,4,actual,KP,16,2443.58
8,4,actual,MP,16,2303.77
8,4,actual,unbalance,16,-187.35
8,4,plan,Total,16,4560
8,4,plan,KP,16,2660.59
8,4,plan,MP,16,1899.72
8,4,actual,Total,17,4817.23
8,4,actual,KP,17,2720.6
8,4,actual,MP,17,2096.63
8,4,actual,unbalance,17,-149.23
8,4,plan,Total,17,4668
8,4,plan,KP,17,2505.9
8,4,plan,MP,17,2161.93
8,4,actual,Total,18,4787.96
8,4,actual,KP,18,2677.8
8,4,actual,MP,18,2110.17
8,4,actual,unbalance,18,-119.96
8,4,plan,Total,18,4668
8,4,plan,KP,18,2505.9
8,4,plan,MP,18,2161.93
8,4,actual,Total,19,4862.57
8,4,actual,KP,19,2717.03
8,4,actual,MP,19,2145.54
8,4,actual,unbalance,19,-353.57
8,4,plan,Total,19,4509
8,4,plan,KP,19,2609.39
8,4,plan,MP,19,1899.72
8,4,actual,Total,20,4681.23
8,4,actual,KP,20,2721.03
8,4,actual,MP,20,1960.2
8,4,actual,unbalance,20,-58.23
8,4,plan,Total,20,4623
8,4,plan,KP,20,2560.59
8,4,plan,MP,20,2061.93
8,4,actual,Total,21,4510.45
8,4,actual,KP,21,2448.44
8,4,actual,MP,21,2062.01
8,4,actual,unbalance,21,306.56
8,4,plan,Total,21,4817
8,4,plan,KP,21,2720.6
8,4,plan,MP,21,2096.63
8,4,actual,Total,22,4730.4
8,4,actual,KP,22,2693.62
8,4,actual,MP,22,2036.79
8,4,actual,unbalance,22,86.6
8,4,plan,Total,22,4817
8,4,plan,KP,22,2720.6
8,4,plan,MP,22,2096.63
8,4,actual,Total,23,5103.26
8,4,actual,KP,23,3072.05
8,4,actual,MP,23,2031.22
8,4,actual,unbalance,23,-493.26
8,4,plan,Total,23,4610
8,4,plan,KP,23,2548.44
8,4,plan,MP,23,2062.01
8,4,actual,Total,24,2294.39
8,4,actual,KP,24,991.86
8,4,actual,MP,24,1302.53
8,4,actual,unbalance,24,2518.06
8,4,plan,Total,24,4812.45
8,4,plan,KP,24,2750.44
